Publisher,"Journal name or names, in case these replies apply to multiple journals (please separate the names by comma):","Age (publisher and/or journal, approximate number)",
IOP,"Chinese Physics B, Journal of Semiconductors, Advances in Natural Sciences Nanoscience and Nanotechnology",1992,
IOP,IOP Conference Series Materials Science and Engineering,2008,
IOP,Journal of The Electrochemical Society,1948,
IOP,ECS Journal of Solid State Science and Technology,2012,
IOP,ECS Advances,2022,
IOP Publishing,"2D Materials, Quantum Science and Technology, Journal of Physics: Photonics, Nanotechnology, Journal of Physics: Condensed Matter, Smart Materials and Structures, Journal of Physics Energy",2014,
IOP Publishing,Journal of Semiconductors,2009,
IOP Publishing,IOP Conference Series: Materials Science and Engineering,2009,
ISSN: 1757-899X,Accounts of Chemical Research,1968,
IUCr,"IUCrJ, Journal of Synchrotron Radiation, Journal of Applied Crystallography, IUCrData, Acta Crystallographica Section A, Acta Crystallographica Section B, Acta Crystallographica Section C, Acta Crystallographica Section D, Acta Crystallographica Section E, Acta Crystallographica Section F",2014,
"Journal of Open Source Software is part of Open Journals, which is a NumFOCUS-sponsored project.",The Journal of Open Source Software (JOSS),2016,
KeAi      *no clear link to ELSEVIER policies,eScience,2021,
MDPI,"Nanomaterials
",2010,
MDPI,Polymers,2009,
MDPI,"Nanomaterials, materials, Polymers, Sensors",2011,
MDPI,"Marine Drugs, Nanomaterials, Polymers, Actuators, Membranes, Molecules, Materials, Crystals, Coatings, Catalysts, Sensors, Reactions, Batteries, Photonics, Molbank",2003,
MDPI All MDPI have the same  Instructions for Authors,"Marine Drugs, Actuators, Nanomaterials, Polymers, Membranes, Molecules, Materials, Crystals, Coatings, Catalysts, Sensors, Reactions, Batteries, Photonics, Molbank",1966,
Nature Portfolio,Scientific Data,2014,
Open Journals,Journal of Open Source Software (JOSS),2016,
Optica,"Applied Optics, Journal of the Optical Society of America B, Optical Materials Express, Optics Continuum",2014,
Optica Publishing Group,"Optica, Photonics Research, Biomedical Optics Express, Optics Express, Optics Letters, Applied Optics, Journal of the Optical Society of America B, Optical Materials Express, Optics Continuum",2014,
Optica Publishing Group,"Optica, Photonics Research, Biomedical Optics Express, Optics Express, Optics Letters",2014,
Pleiades Publishing,Membranes and Membrane Technologies,2019,
Pleiades Publishing," Russian Journal of Inorganic Chemistry, Physical Mesomechanics, Russian Journal of Physical Chemistry A, Russian Journal of General Chemistry, Journal of Experimental and Theoretical Physics, Atmospheric and Oceanic Optics, Physics of Metals and Metallography",1996,
Pleiades publishing,Russian Journal of Organic Chemistry,1996,
Pleiades Publishing,Russian Journal of Physical Chemistry A,1996,
Pleiades Publishing,Atmospheric and Oceanic Optics,2009,Springer
Pleiades Publishing,Journal of Experimental and Theoretical Physics,2000,
Pleiades Publishing,Membranes and Membrane Technologies,2019,
Pleiades Publishing,Physical Mesomechanics,2012,
Pleiades Publishing,Physics of Metals and Metallography,1996,
Pleiades Publishing,"Russian Journal of General Chemistry, Russian Journal of Inorganic Chemistry, Russian Journal of Organic Chemistry ",2001,Springer
Royal Society of Chemistry,"Energy & Environmental Science, Journal of Materials Chemistry A, 
Energy Advances",2008,
Royal Society of Chemistry,Environmental Science: Nano,2014,
Royal Society of Chemistry,"Physical Chemistry Chemical Physics, Nanoscale-Advances",1999,
Royal Society of Chemistry,Dalton-Transactions,1966,
Royal Society of Chemistry,Chemical Communications,1996,
Royal Society of Chemistry,Digital Discovery,2022,
Royal Society of Chemistry (RSC),"Energy and Environmental Science, Journal of Materials Chemistry A, Environmental Science Nano, Materials Horizons, Chemical Science, Physical Chemistry Chemical Physics, Chemical Communications, Dalton Transactions, RSC Advances, New Journal of Chemistry, Nanoscale Advances, Digital Discovery, Energy Advances, Biomaterials Science, Analyst.",2024,
Springer Nature,"Nature, Nature Energy, Nature Communications",1869,
Springer Nature,"Nano-Micro Letters, Materials Science",2009,
Springer Nature,"Biomedical Microdevices, Medicinal Chemistry Research, Journal of Materials Science: Materials in Electronics",1966,
Springer Nature,Scientific Reports,2011,
Springer Nature,Nature,1869,
Springer Nature,Nature Eniergy,2016,
Springer Nature,Nano-Micro Letters,2009,
Springer Nature,Journal of Materials Science: Materials in Electronics,1990,
Springer Nature,Nature Communications,2010,
Springer Nature,Scientific Reports,2011,
Springer Nature,Biomedical Microdevices,1998,
Springer Nature,Medicinal Chemistry Research,2004,
Springer Nature,Materials Science,1966,
Springer Nature,High Energy Chemistry,2000,
Springer Nature,Scientific Data,2014,
Taylor & Francis,"Materials Research Letters, Green Chemistry Letters and Reviews, Science and Technology of Advanced Materials, Waves in Random and Complex Media, Polycyclic Aromatic Compounds, Molecular Physics, Liquid Crystals, Journal of Macromolecular Science Part B, Advanced Composite Materials, Analytical Letters",2013,
Taylor and Francis,Nanotoxicology,2007,
Taylor and Francis,Ferroelectrics,1970,
Taylor and Francis,Molecular Crystals and Liquid Crystals ,1966,
Taylor and Francis,International Journal of Nanomedicine ,2006,
Taylor and Francis, Journal of Asian Ceramic Societies ,2013,
The Electrochemical Society,Journal of The Electrochemical Society,1902,
The Electrochemical Society,ECS Journal of Solid State Science and Technology,2016,
The Electrochemical Society,ECS Advances,2022,
The Electrochemical Society,ECS Meeting Abstracts,2006,
The Electrochemical Society,ECS Transactions,2006,
The Electrochemical Society of Japan,Electrochemistry,1933,
Ubiquity Press,CODATA Data Science Journal,2002,
ubiquity press,data science journal,2002,
Wiley,"Advanced Energy Materials, InfoMat,Advanced Materials, Carbon Energy,Angewandte Chemie International Edition, Angewandte Chemie, Advanced Functional Materials, Small, Chemistry - A European Journal, ChemistrySelect, Ce/Papers, Batteries & Supercaps, Microscopy Research and Technique, Chirality, Journal of Physical Organic Chemistry",2010,
Wiley,"Advanced Energy Materials, InfoMat, Advanced Materials, Carbon Energy, Advanced Functional Materials, Small, Microscopy Research & Technique",2010,
Wiley,ce/paper,2010,
Wiley,Chirality,1980,
Wiley,Journal of Physical Organic Chemistry,1980,
Wiley,"Angewandte Chemie, Angewandte Chemie International Edition, Chemistry A European Journal, ChemistrySelect, Batteries & Supercaps",1880,

